"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Brandywine","Carrcroft Elementary School","BRAN-2-2-12-DW-P-31","31","P","Room 12 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Carrcroft Elementary School","BRAN-2-2-226-DW-P-32","32","P","Room 226 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Carrcroft Elementary School","BRAN-2-2-225-DW-P-33","33","P","Room 225 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Carrcroft Elementary School","BRAN-2-2-WR-DWC-P-34","34","P","Second Floor Water Fountain w/Cooler by Women's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Carrcroft Elementary School","BRAN-2-2-WR-WBF-P-35","35","P","Second Floor Water Bottle Filler by Women's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-114B-KF-P-02","2","P","Room 114B Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-DWC-P-03L","3","P","Left Water Fountain w/Cooler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-DWC-P-04L","4","P","Left Water Fountain w/Cooler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-WBF-P-05L","5","P","Left Water Bottle Filler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-DWC-P-06R","6","P","Right Water Fountain w/Cooler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-DWC-P-07R","7","P","Right Water Fountain w/Cooler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-CAFE-WBF-P-08R","8","P","Right Bottle Filler Cafeteria","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-KIT-KF-P-12","12","P","Kitchen Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-KIT-ICE-P-13","13","P","Kitchen Ice Machine","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-BR-WBF-P-16R","16","P","Right Bottle Filler by Boy's Restroom","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-BR-DWC-P-17R","17","P","Right Water Fountain w/Cooler by Boy's Restroom","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-BR-DWC-P-18R","18","P","Right Water Fountain w/Cooler by Boy's Restroom","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-142-DWC-P-19L","19","P","Left Water Fountain w/Cooler by Room 142","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-142-DWC-P-20L","20","P","Left Water Fountain w/Cooler by Room 142","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-142-DWC-P-21R","21","P","Right Water Fountain w/Cooler by Room 142","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-142-DWC-P-22R","22","P","Right Water Fountain w/Cooler by Room 142","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-142-DWC-P-23R","23","P","Right Water Fountain w/Cooler by Room 142","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-131-CF-P-24","24","P","Room 131 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-132-CF-P-25","25","P","Room 132 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-133-CF-P-26","26","P","Room 133 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-136-CF-P-27","27","P","Room 136 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-137-CF-P-28","28","P","Room 137 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-138-CF-P-29","29","P","Room 138 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-141-CF-P-30","30","P","Room 141 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-TL-KF-P-31","31","P","Teacher's Lounge Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-MO-KF-P-32","32","P","Main Office Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-NUR-NS-P-34","34","P","Nurse's Office Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-NUR-NS-P-35","35","P","Nurse's Office Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-NUR-BS-P-36","36","P","Nurse's Office Bathroom Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-1-L2-DWC-P-44R","44","P","Right Water Fountain w/Cooler by Room L2","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-212-WBF-P-47","47","P","Second Floor Bottle Filler by Room 212","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-212-DWC-P-48R","48","P","Second Floor Water Fountain w/Cooler by Room 212","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-212-DWC-P-49R","49","P","Second Floor Water Fountain w/Cooler by Room 212","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-213-KF-P-50","50","P","Room 213 Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-2BR-WBF-P-53R","53","P","Second Floor Right Bottle Filler by Room 2BR","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-2BR-WBF-P-54R","54","P","Second Floor Right Bottle Filler by Room 2BR","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Claymont Elementary School","BRAN-5-2-2BR-DWC-P-55R","55","P","Second Floor Right Water Fountain w/Cooler by Room 2BR","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-B-HW-T100-DWC-P-01L","1","P","Basement Left Water Fountain w/Cooler by Room T100","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-B-HW-T100-DWC-P-02R","2","P","Basement Right Water Fountain w/Cooler by Room T100","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-B-HW-T100-WBF-P-03","3","P","Basement Bottle Filler by Room T100","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-DWC-P-04","4","P","First Floor Water Fountain w/Cooler in Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-CAFE-DWC-P-05L","5","P","Left Water Fountain w/Cooler in Cafeteria","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-CAFE-DWC-P-06R","6","P","Right Water Fountain w/Cooler in Cafeteria","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-CAFE-WBF-P-07","7","P","Bottle Filler in Cafeteria","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-KIT-KIT-P-08","8","P","Kitchen Faucet","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-GYM-DWC-P-11","11","P","Water Fountain w/Cooler Gym","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-GYM-WBF-P-12","12","P","Bottle Filler Gym","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-GYM-DWC-P-13","13","P","Water Fountain w/Cooler Gym","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-GYM-WBF-P-14","14","P","Bottle Filler Gym","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-POOL-DWC-P-15L","15","P","Left Water Fountain w/Cooler in Pool Room","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-POOL-DWC-P-16R","16","P","Right Water Fountain w/Cooler in Pool Room","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-TR-DWC-P-17","17","P","Water Fountain w/Cooler in Hallway by Trainer's Room","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-WR-DWC-P-18","18","P","Water Fountain w/Cooler by Women's Restroom","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-WR-WBF-P-19","19","P","Bottle Filler by Women's Restroom","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-MR-DWC-P-20","20","P","Water Fountain w/Cooler by Men's Restroom","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-MR-WBF-P-21","21","P","Bottle Filler by Men's Restroom","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-A-HW-DWC-P-22","22","P","Water Fountain w/Cooler in A Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-A-HW-MO-DWC-P-24","24","P","Water Fountain w/Cooler in Hallway by Main Office","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-MO-SINK-P-25","25","P","Main Office Sink Faucet","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-NUR-DWC-P-26","26","P","Water Fountain w/Cooler in Nurse's Office","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-NUR-SINK-P-27","27","P","Nurse's Office Sink Faucet","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-DWC-P-28","28","P","Water Fountain in Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-WBF-P-29","29","P","Bottle Filler in Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-DWC-P-30","30","P","Water Fountain in Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-HW-WBF-P-31","31","P","Bottle Filler in Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-M-HALL-DWC-P-32L","32","P","Left Water Fountain w/Cooler in M Hall","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-M-HALL-DWC-P-33R","33","P","Right Water Fountain w/Cooler in M Hall","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-D-HW-DWC-P-34","34","P","Water Fountain w/Cooler in D Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-1-D-HW-WBF-P-35","35","P","Bottle Filler in D Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-DD-HW-S5-DWC-P-36","36","P","Water Fountain w/Cooler in DD Hallway by Stairwell 5","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-DD-HW-S5-WBF-P-37","37","P","Bottle Filler in DD Hallway by Stairwell 5","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-CC-HW-DWC-P-38","38","P","Water Fountain w/Cooler in CC Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-CC-HW-WBF-P-39","39","P","Bottle Filler in CC Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-BB-HW-DWC-P-40","40","P","Water Fountain w/Cooler in BB Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-BB-HW-WBF-P-41","41","P","Bottle in BB Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-AA-HW-DWC-P-42","42","P","Water Fountain w/Cooler in Hallway AA","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-AA-HW-WBF-P-43","43","P","Bottle Filler in Hallway AA","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-AA-HW-S3-DWC-P-44","44","P","Water Fountain w/Cooler in AA Hallway by Stairwell 3","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-AA-HW-S3-WBF-P-45","45","P","Bottle Filler in AA Hallway by Stairwell 3","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-BB-HW-S8-DWC-P-46","46","P","Water Fountain w/Cooler in BB Hallway by Stairwell 8","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-BB-HW-S8-WBF-P-47","47","P","Bottle Filler in BB Hallway by Stairwell 8","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-FL-SINK-P-48","48","P","Second Floor Teacher's Lounge Sink Faucet","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-CC-HW-DWC-P-49","49","P","Water Fountain w/Cooler in CC Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Concord High School","BRAN-5-2-DD-HW-DWC-P-50","50","P","Water Fountain w/Cooler in DD Hallway","05/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-405-DWC-P-01","1","P","Water Fountain w/Cooler by Room 405","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-405-DWC-P-02","2","P","Water Fountain w/Cooler by Room 405","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-405-WBF-P-03","3","P","Water Bottle Filler by Room 405","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-NO-CF-P-04","4","P","Nurse's Office Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-LIB-DWC-P-05","5","P","Water Fountain w/Cooler by Library","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-LIB-DWC-P-06","6","P","Water Fountain w/Cooler by Library","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-LIB-WBF-P-07","7","P","Water Bottle Filler by Library","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-TL-CF-P-08","8","P","Teacher's Lounge Sink Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-KIT-KF-P-09","9","P","Kitchen Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-305-DWC-P-10","10","P","Water Fountain w/Cooler by Room 305","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-305-DWC-P-11","11","P","Water Fountain w/Cooler by Room 305","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Forwood Elementary School","BRAN-6-1-305-WBF-P-12","12","P","Water Bottle Filler by Room 305","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-KIT-KF-P-01L","1","P","Left Kitchen Sink","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-KIT-KF-P-03","3","P","Kitchen Faucet","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-CAFE-DWC-P-04L","4","P","Left Water Fountain w/Cooler Cafeteria","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-CAFE-DWC-P-05R","5","P","Right Water Fountain w/Cooler Cafeteria","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-CAFE-WBF-P-06","6","P","Bottle Filler Cafeteria","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B101-DW-P-07","7","P","Room B101 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B102-DW-P-08","8","P","Room B102 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B103-DW-P-09","9","P","Room B103 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B104-DW-P-10","10","P","Room B104 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B106-DW-P-12","12","P","Room B106 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B107-DWC-P-13L","13","P","Left Water Fountain w/Cooler by Room B107","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B107-DWC-P-14R","14","P","Right Water Fountain w/Cooler by Room B107","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B107-WBF-P-15","15","P","Bottle Filler by Room B107","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B107-DW-P-16","16","P","Room B107 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B109-DW-P-18","18","P","Room B109 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-B111-DW-P-20","20","P","Room B111 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A113-DWC-P-24L","24","P","Left Water Fountain w/Cooler by Room A113","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A113-DWC-P-25R","25","P","Right Water Fountain w/Cooler by Room A113","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A113-WBF-P-26","26","P","Bottle Filler by Room A113","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-TL-DW-P-29","29","P","Teacher's Lounge Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A101H-DW-P-30","30","P","Room A10aH Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-NUR-NS-P-31","31","P","Nurse's Office Sink Faucet","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A100B-DWC-P-32L","32","P","Left Water Fountain w/Cooler by Room A100B","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A100B-DWC-P-33R","33","P","Right Water Fountain w/Cooler by Room A100B","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-A100B-WBF-P-34","34","P","Bottle Filler by Room A100B","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-C106-DWC-P-39L","39","P","Left Water Fountain w/Cooler by Room C106","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-C106-DWC-P-40R","40","P","Right Water Fountain w/Cooler by Room C106","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-C106-WBF-P-41","41","P","Bottle Filler by Room C106","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-C112-DW-P-48","48","P","Room C112 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B202-DW-P-52","52","P","Room B202 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B203-DW-P-53","53","P","Room B203 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B204-DW-P-54","54","P","Room B204 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B200-DWC-P-56L","56","P","Second Floor Left Water Fountain w/Cooler by Room B200","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B200-DWC-P-57R","57","P","Second Floor Right Water Fountain w/Cooler by Room B200","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B200-WBF-P-58","58","P","Second Floor Bottle Filler by Room B200","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B208-DW-P-59","59","P","Room B208 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B214-DW-P-64","64","P","Room B214 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B215-DW-P-65","65","P","Room B215 Water Fountain","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Harlan Elementary School","BRAN-8-B-KIT-KF-P-01","1","P","Basement Kitchen Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Brandywine","Harlan Elementary School","BRAN-8-B-KIT-KF-P-02","2","P","Basement Kitchen Faucet","04/25/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
